character,scene,loc,loc_name
GOLLUM,0,0.0,PROLOGUE
GOLLUM,12189,0.0,PROLOGUE
GOLLUM,12189,9.0,BARAD-DÛR
GOLLUM,15383,9.0,BARAD-DÛR
GOLLUM,15383,9.0,BARAD-DÛR
GALADRIEL,0,0.2,PROLOGUE
GALADRIEL,47989,0.2,PROLOGUE
GALADRIEL,47989,68.2,EDGE OF LOTHLÓRIEN
GALADRIEL,51264,68.0,EDGE OF LOTHLÓRIEN
GALADRIEL,51264,71.0,"CELEBORN’S CHAMBER, CARAS GALADHON"
GALADRIEL,53564,71.0,"CELEBORN’S CHAMBER, CARAS GALADHON"
GALADRIEL,53564,73.0,"GALADRIEL’S GLADE, LOTHLÓRIEN"
GALADRIEL,55906,73.4,"GALADRIEL’S GLADE, LOTHLÓRIEN"
GALADRIEL,55906,78.4,SILVERLODE RIVER BANK
ELROND,0,0.5,PROLOGUE
ELROND,27828,0.2,PROLOGUE
ELROND,27828,42.2,FRODO’S DELIRIUM
ELROND,28634,42.5,FRODO’S DELIRIUM
ELROND,28634,44.5,"FRODO’S BEDROOM, RIVENDELL"
ELROND,28881,44.0,"FRODO’S BEDROOM, RIVENDELL"
ELROND,28881,45.0,RIVENDELL VALLEY
ELROND,29969,45.0,RIVENDELL VALLEY
ELROND,29969,48.0,RIVENDELL TERRACE
ELROND,31457,48.5,RIVENDELL TERRACE
ELROND,31457,49.5,"ELROND’S CHAMBER, RIVENDELL"
ELROND,31642,49.0,"ELROND’S CHAMBER, RIVENDELL"
ELROND,31642,48.0,"ELROND’S CHAMBER, RIVENDELL"
ELROND,33193,48.2,"ELROND’S CHAMBER, RIVENDELL"
ELROND,33193,51.2,CRACK OF DOOM
ELROND,37204,51.5,CRACK OF DOOM
ELROND,37204,52.5,"COUNCIL CHAMBER, RIVENDELL"
ELROND,38170,52.5,"COUNCIL CHAMBER, RIVENDELL"
ELROND,38170,47.5,"GILRAEN’S MEMORIAL, RIVENDELL"
ELROND,39622,47.3,"GILRAEN’S MEMORIAL, RIVENDELL"
ELROND,39622,53.3,RIVENDELL GATE
BILBO,0,0.7,PROLOGUE
BILBO,2662,0.0,PROLOGUE
BILBO,2662,1.0,BAG END STUDY
BILBO,2765,1.0,BAG END STUDY
BILBO,2765,2.0,BAG END STUDY
BILBO,3117,2.0,BAG END STUDY
BILBO,3117,1.0,BAG END STUDY
BILBO,3144,1.0,BAG END STUDY
BILBO,3144,2.0,BAG END STUDY
BILBO,3624,2.0,BAG END STUDY
BILBO,3624,1.0,BAG END STUDY
BILBO,3672,1.0,BAG END STUDY
BILBO,3672,3.0,HOBBITON
BILBO,3873,3.3,HOBBITON
BILBO,3873,5.3,HOBBITON
BILBO,4742,5.0,HOBBITON
BILBO,4742,1.0,HOBBITON WOODS
BILBO,4889,1.5,HOBBITON WOODS
BILBO,4889,1.5,HOBBITON FIELDS
BILBO,5505,1.0,HOBBITON FIELDS
BILBO,5505,6.0,BAG END
BILBO,5788,6.3,BAG END
BILBO,5788,7.3,BAG END
BILBO,7579,7.0,BAG END
BILBO,7579,6.0,BAG END
BILBO,7694,6.0,BAG END
BILBO,7694,8.0,BAG END
BILBO,10047,8.0,BAG END
BILBO,10047,6.0,BAG END LIVING ROOM
BILBO,11442,6.0,BAG END LIVING ROOM
