character,scene,loc,loc_name
SMÉAGOL,0,0.0,RIVER ANDUIN 
SMÉAGOL,25,0.0,RIVER ANDUIN 
SMÉAGOL,25,1.0,"RIVER ANDUIN, GLADDEN FIELDS"
SMÉAGOL,114,1.5,"RIVER ANDUIN, GLADDEN FIELDS"
SMÉAGOL,114,2.5,MISTY MOUNTAINS CAVES 
SMÉAGOL,2768,2.5,MISTY MOUNTAINS CAVES 
SMÉAGOL,2768,7.5,MORGUL VALLEY 
SMÉAGOL,15029,7.5,MORGUL VALLEY 
SMÉAGOL,15029,36.5,CIRITH UNGOL LEDGE 
SMÉAGOL,22932,36.6,CIRITH UNGOL LEDGE 
SMÉAGOL,22932,52.6,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
SMÉAGOL,23552,52.6,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
SMÉAGOL,23552,54.6,PASS OF CIRITH UNGOL
GOLLUM,114,2.0,MISTY MOUNTAINS CAVES 
GOLLUM,419,2.0,MISTY MOUNTAINS CAVES 
GOLLUM,419,3.0,"CULVERT, VALE OF MORGUL "
GOLLUM,1014,3.0,"CULVERT, VALE OF MORGUL "
GOLLUM,1014,4.0,"CULVERT, VALE OF MORGUL"
GOLLUM,2768,4.0,"CULVERT, VALE OF MORGUL"
GOLLUM,2768,7.0,MORGUL VALLEY 
GOLLUM,11083,7.0,MORGUL VALLEY 
GOLLUM,11083,23.0,MINAS MORGUL 
GOLLUM,11366,23.0,MINAS MORGUL 
GOLLUM,11366,23.0,MINAS MORGUL 
GOLLUM,11453,23.0,MINAS MORGUL 
GOLLUM,11453,24.0,MINAS MORGUL
GOLLUM,13430,24.0,MINAS MORGUL
GOLLUM,13430,32.0,CIRITH UNGOL STAIRS 
GOLLUM,13502,32.0,CIRITH UNGOL STAIRS 
GOLLUM,13502,33.0,CIRITH UNGOL LEDGE
GOLLUM,15029,33.0,CIRITH UNGOL LEDGE
GOLLUM,15029,36.0,CIRITH UNGOL LEDGE 
GOLLUM,22932,36.0,CIRITH UNGOL LEDGE 
GOLLUM,22932,52.0,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
GOLLUM,23081,52.0,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
GOLLUM,23081,53.0,SHELOB’S TUNNEL
GOLLUM,23274,53.0,SHELOB’S TUNNEL
GOLLUM,23274,53.0,SHELOB’S TUNNEL
GOLLUM,23552,53.0,SHELOB’S TUNNEL
GOLLUM,23552,54.0,PASS OF CIRITH UNGOL
GOLLUM,31046,54.0,PASS OF CIRITH UNGOL
GOLLUM,31046,72.0,SLOPES OF MOUNT DOOM
GOLLUM,31294,72.0,SLOPES OF MOUNT DOOM
GOLLUM,31294,75.0,CRACK OF
FRODO,419,3.3,"CULVERT, VALE OF MORGUL "
FRODO,2768,3.2,"CULVERT, VALE OF MORGUL "
FRODO,2768,7.2,MORGUL VALLEY 
FRODO,11083,7.2,MORGUL VALLEY 
FRODO,11083,23.2,MINAS MORGUL 
FRODO,11377,23.0,MINAS MORGUL 
FRODO,11377,23.0,MINAS MORGUL 
FRODO,15029,23.2,MINAS MORGUL 
FRODO,15029,36.2,CIRITH UNGOL LEDGE 
FRODO,22932,36.3,CIRITH UNGOL LEDGE 
FRODO,22932,52.3,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
FRODO,23081,52.5,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
FRODO,23081,53.5,SHELOB’S TUNNEL
FRODO,23274,53.6,SHELOB’S TUNNEL
FRODO,23274,53.6,SHELOB’S TUNNEL
FRODO,23552,53.3,SHELOB’S TUNNEL
FRODO,23552,54.3,PASS OF CIRITH UNGOL
FRODO,23823,54.0,PASS OF CIRITH UNGOL
FRODO,23823,54.0,PASS OF CIRITH UNGOL
FRODO,27646,54.3,PASS OF CIRITH UNGOL
FRODO,27646,62.3,PASS OF CIRITH UNGOL
FRODO,28226,62.0,PASS OF CIRITH UNGOL
FRODO,28226,54.0,TOWER OF CIRITH UNGOL/TOP ROOM
