character,scene,loc,loc_name
FRODO,0,0.0,THE MISTY MOUNTAINS
FRODO,161,0.0,THE MISTY MOUNTAINS
FRODO,161,1.0,"BRIDGE OF KHAZAD-DÛM, MORIA"
FRODO,215,1.0,"BRIDGE OF KHAZAD-DÛM, MORIA"
FRODO,215,2.0,EMYN MUIL
FRODO,266,2.0,EMYN MUIL
FRODO,266,2.0,EMYN MUIL
FRODO,1003,2.0,EMYN MUIL
FRODO,1003,2.0,EMYN MUIL
FRODO,1599,2.0,EMYN MUIL
FRODO,1599,2.0,EMYN MUIL
FRODO,1806,2.5,EMYN MUIL
FRODO,1806,2.5,EMYN MUIL
FRODO,2078,2.3,EMYN MUIL
FRODO,2078,2.3,EMYN MUIL
FRODO,11269,2.3,EMYN MUIL
FRODO,11269,14.3,THE DEAD MARSHES
FRODO,12082,14.3,THE DEAD MARSHES
FRODO,12082,14.3,THE DEAD MARSHES
FRODO,12149,14.3,THE DEAD MARSHES
FRODO,12149,14.3,THE DEAD MARSHES
FRODO,17714,14.3,THE DEAD MARSHES
FRODO,17714,18.3,EPHEL DÚATH
FRODO,17948,18.3,EPHEL DÚATH
FRODO,17948,18.3,EPHEL DÚATH
FRODO,18013,18.3,EPHEL DÚATH
FRODO,18013,19.3,BASE OF EPHEL DÚATH
FRODO,26558,19.0,BASE OF EPHEL DÚATH
FRODO,26558,31.0,ITHILIEN
FRODO,28742,31.2,ITHILIEN
FRODO,28742,34.2,ITHILIEN
FRODO,37750,34.0,ITHILIEN
FRODO,37750,46.0,EDGE OF ITHILIEN
FRODO,40851,46.0,EDGE OF ITHILIEN
FRODO,40851,46.0,HENNETH ANNÛN
FRODO,41055,46.5,HENNETH ANNÛN
FRODO,41055,48.5,HENNETH ANNÛN
FRODO,41672,48.0,HENNETH ANNÛN
FRODO,41672,46.0,HENNETH ANNÛN
FRODO,50612,46.7,HENNETH ANNÛN
FRODO,50612,31.7,OSGILIATH
FRODO,51397,31.2,OSGILIATH
FRODO,51397,47.2,OSGILIATH
FRODO,53049,47.0,OSGILIATH
FRODO,53049,47.0,OSGILIATH
FRODO,53847,47.0,OSGILIATH
FRODO,53847,47.0,OSGILIATH
FRODO,55235,47.2,OSGILIATH
FRODO,55235,47.2,THE FORBIDDEN POOL
FRODO,55962,47.3,THE FORBIDDEN POOL
FRODO,55962,58.3,OSGILIATH SEWER TUNNEL
GANDALF,0,0.5,THE MISTY MOUNTAINS
GANDALF,161,0.5,THE MISTY MOUNTAINS
GANDALF,161,1.5,"BRIDGE OF KHAZAD-DÛM, MORIA"
GANDALF,13027,1.8,"BRIDGE OF KHAZAD-DÛM, MORIA"
GANDALF,13027,13.8,PLAINS OF ROHAN
GANDALF,13901,13.0,PLAINS OF ROHAN
GANDALF,13901,16.0,PLAINS OF ROHAN
GANDALF,14262,16.6,PLAINS OF ROHAN
GANDALF,14262,13.6,PLAINS OF ROHAN
GANDALF,14460,13.6,PLAINS OF ROHAN
GANDALF,14460,13.6,PLAINS OF ROHAN
GANDALF,15486,13.5,FANGORN FOREST
GANDALF,15486,17.5,FANGORN FOREST
GANDALF,16476,17.5,FANGORN FOREST
GANDALF,16476,3.5,FANGORN FOREST
GANDALF,20287,3.0,FANGORN FOREST
GANDALF,20287,3.0,FANGORN FOREST
GANDALF,20365,3.0,"DURIN’S TOWER, SILVERTINE"
GANDALF,20365,21.0,"DURIN’S TOWER, SILVERTINE"
GANDALF,20537,21.0,BORDER OF FANGORN FOREST
GANDALF,20537,3.0,BORDER OF FANGORN FOREST
GANDALF,21174,3.0,MEDUSELD THRONE ROOM
GANDALF,21174,24.0,MEDUSELD THRONE ROOM
GANDALF,21227,24.8,MEDUSELD THRONE ROOM
GANDALF,21227,21.8,MEDUSELD THRONE ROOM
GANDALF,22549,21.5,MEDUSELD THRONE ROOM
GANDALF,22549,25.5,MEDUSELD THRONE ROOM
GANDALF,23020,25.7,MEDUSELD
GANDALF,23020,21.7,MEDUSELD
GANDALF,23758,21.6,THÉODRED’S TOMB
GANDALF,23758,26.6,THÉODRED’S TOMB
GANDALF,52016,26.6,ROHIRRIM STABLES
GANDALF,52016,51.6,ROHIRRIM STABLES
GANDALF,52903,51.6,HELM’S DEEP
GANDALF,52903,38.6,HELM’S DEEP
GANDALF,56260,38.0,HELM’S DEEP HALL
GANDALF,56260,3.0,HELM’S DEEP HALL
SAM,215,2.5,EMYN MUIL
SAM,266,2.5,EMYN MUIL
SAM,266,2.5,EMYN MUIL
SAM,1003,2.5,EMYN MUIL
SAM,1003,2.5,EMYN MUIL
SAM,1599,2.5,EMYN MUIL
SAM,1599,2.5,EMYN MUIL
SAM,2078,2.6,EMYN MUIL
SAM,2078,2.6,EMYN MUIL
SAM,2953,2.6,EMYN MUIL
SAM,2953,2.6,EMYN MUIL
SAM,10942,2.5,EMYN MUIL
SAM,10942,14.5,ISENGARD
SAM,11269,14.6,ISENGARD
SAM,11269,14.6,THE DEAD MARSHES
SAM,11787,14.5,THE DEAD MARSHES
SAM,11787,14.5,THE DEAD MARSHES
SAM,12082,14.6,THE DEAD MARSHES
SAM,12082,14.6,THE DEAD MARSHES
SAM,12149,14.6,THE DEAD MARSHES
SAM,12149,14.6,THE DEAD MARSHES
SAM,12863,14.5,THE DEAD MARSHES
SAM,12863,14.5,THE DEAD MARSHES
SAM,17714,14.6,THE DEAD MARSHES
SAM,17714,18.6,THE DEAD MARSHES
SAM,17948,18.6,THE DEAD MARSHES
SAM,17948,18.6,EPHEL DÚATH
SAM,18013,18.6,EPHEL DÚATH
SAM,18013,19.6,EPHEL DÚATH
SAM,26558,19.5,EPHEL DÚATH
SAM,26558,31.5,BASE OF EPHEL DÚATH
SAM,28089,31.5,BASE OF EPHEL DÚATH
SAM,28089,31.5,ITHILIEN
SAM,28306,31.5,ITHILIEN
SAM,28306,32.5,ITHILIEN
SAM,28732,32.0,ITHILIEN
SAM,28732,33.0,ITHILIEN CAMPSITE-
SAM,28742,33.7,ITHILIEN CAMPSITE-
SAM,28742,34.7,ITHILIEN CAMPSITE
SAM,37750,34.6,ITHILIEN CAMPSITE
SAM,37750,46.6,EDGE OF ITHILIEN
SAM,41672,46.7,EDGE OF ITHILIEN
SAM,41672,46.7,HELM’S DEEP
SAM,51397,46.8,HELM’S DEEP
SAM,51397,47.8,HENNETH ANNÛN
SAM,53049,47.5,HENNETH ANNÛN
SAM,53049,47.5,HENNETH ANNÛN
SAM,53424,47.5,HENNETH ANNÛN
SAM,53424,38.5,OSGILIATH
SAM,53580,38.0,OSGILIATH
SAM,53580,7.0,OSGILIATH
SAM,53847,7.7,OSGILIATH
SAM,53847,47.7,OSGILIATH
SAM,55235,47.7,OSGILIATH
SAM,55235,47.7,OSGILIATH
SAM,55962,47.6,OSGILIATH
SAM,55962,58.6,OSGILIATH SEWER TUNNEL
GOLLUM,1806,2.0,EMYN MUIL
GOLLUM,2078,2.0,EMYN MUIL
GOLLUM,2078,2.0,EMYN MUIL
GOLLUM,2953,2.0,EMYN MUIL
GOLLUM,2953,2.0,EMYN MUIL
GOLLUM,10852,2.0,EMYN MUIL
GOLLUM,10852,2.0,EMYN MUIL
GOLLUM,10942,2.0,EMYN MUIL
GOLLUM,10942,14.0,THE DEAD MARSHES
GOLLUM,11095,14.0,THE DEAD MARSHES
GOLLUM,11095,15.0,THE DEAD MARSHES
GOLLUM,11269,15.0,THE DEAD MARSHES
GOLLUM,11269,14.0,THE DEAD MARSHES
GOLLUM,11787,14.0,THE DEAD MARSHES
GOLLUM,11787,14.0,THE DEAD MARSHES
GOLLUM,12082,14.0,THE DEAD MARSHES
GOLLUM,12082,14.0,THE DEAD MARSHES
GOLLUM,12149,14.0,THE DEAD MARSHES
GOLLUM,12149,14.0,THE DEAD MARSHES
GOLLUM,12863,14.0,THE DEAD MARSHES
GOLLUM,12863,14.0,AERIAL OF THE DEAD MARSHES
GOLLUM,17714,14.0,AERIAL OF THE DEAD MARSHES
GOLLUM,17714,18.0,EPHEL DÚATH
GOLLUM,17948,18.0,EPHEL DÚATH
GOLLUM,17948,18.0,EPHEL DÚATH
GOLLUM,18013,18.0,EPHEL DÚATH
GOLLUM,18013,19.0,BASE OF EPHEL DÚATH
GOLLUM,27369,19.0,BASE OF EPHEL DÚATH
GOLLUM,27369,31.0,ITHILIEN
GOLLUM,28089,31.0,ITHILIEN
GOLLUM,28089,31.0,ITHILIEN
GOLLUM,28306,31.0,ITHILIEN
GOLLUM,28306,32.0,ITHILIEN CAMPSITE-
GOLLUM,28742,32.0,ITHILIEN CAMPSITE-
GOLLUM,28742,34.0,EDGE OF ITHILIEN
GOLLUM,41055,34.0,EDGE OF ITHILIEN
GOLLUM,41055,48.0,HENNETH ANNÛN
GOLLUM,41299,48.0,HENNETH ANNÛN
GOLLUM,41299,46.0,OSGILIATH
GOLLUM,55235,46.0,OSGILIATH
GOLLUM,55235,47.0,THE FORBIDDEN POOL
GOLLUM,55962,47.0,THE FORBIDDEN POOL
GOLLUM,55962,58.0,OSGILIATH SEWER TUNNEL
SMÉAGOL,2953,2.3,EMYN MUIL
SMÉAGOL,27369,2.5,EMYN MUIL
SMÉAGOL,27369,31.5,ITHILIEN
SMÉAGOL,41299,31.6,ITHILIEN
SMÉAGOL,41299,46.6,HENNETH ANNÛN
MAÚHUR,3424,3.0,PLAINS OF ROHAN
UGLÚK,3424,3.2,PLAINS OF ROHAN
UGLÚK,7154,3.0,PLAINS OF ROHAN
UGLÚK,7154,12.0,BORDERS OF FANGORN
UGLÚK,7300,12.6,BORDERS OF FANGORN
UGLÚK,7300,12.6,BORDERS OF FANGORN
MERRY,3424,3.4,PLAINS OF ROHAN
MERRY,7154,3.5,PLAINS OF ROHAN
MERRY,7154,12.5,ISENGARD
MERRY,7300,12.3,ISENGARD
MERRY,7300,12.3,ISENGARD
MERRY,9643,12.5,BORDERS OF FANGORN
MERRY,9643,12.5,BORDERS OF FANGORN
MERRY,9986,12.0,BORDERS OF FANGORN
MERRY,9986,13.0,BORDERS OF FANGORN
MERRY,15641,13.0,BORDERS OF FANGORN
MERRY,15641,13.0,BORDERS OF FANGORN
MERRY,18713,13.0,FANGORN FOREST
MERRY,18713,20.0,FANGORN FOREST
MERRY,19668,20.0,FANGORN FOREST
MERRY,19668,13.0,FANGORN FOREST
MERRY,34499,13.0,FANGORN FOREST
MERRY,34499,13.0,FANGORN FOREST
MERRY,44266,13.0,FANGORN FOREST
MERRY,44266,13.0,FANGORN FOREST
