character,scene,loc,loc_name
SMÉAGOL,0,0.0,RIVER ANDUIN 
SMÉAGOL,22,0.0,RIVER ANDUIN 
SMÉAGOL,22,1.0,"RIVER ANDUIN, GLADDEN FIELDS"
SMÉAGOL,103,1.0,"RIVER ANDUIN, GLADDEN FIELDS"
SMÉAGOL,103,2.0,MISTY MOUNTAINS CAVES 
SMÉAGOL,2602,2.0,MISTY MOUNTAINS CAVES 
SMÉAGOL,2602,7.0,MORGUL VALLEY 
SMÉAGOL,14107,7.0,MORGUL VALLEY 
SMÉAGOL,14107,36.0,CIRITH UNGOL LEDGE 
SMÉAGOL,21551,36.0,CIRITH UNGOL LEDGE 
SMÉAGOL,21551,52.0,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
SMÉAGOL,22122,52.0,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
SMÉAGOL,22122,54.0,PASS OF CIRITH UNGOL
GOLLUM,103,2.5,MISTY MOUNTAINS CAVES 
GOLLUM,387,2.3,MISTY MOUNTAINS CAVES 
GOLLUM,387,3.3,"CULVERT, VALE OF MORGUL "
GOLLUM,936,3.0,"CULVERT, VALE OF MORGUL "
GOLLUM,936,4.0,"CULVERT, VALE OF MORGUL"
GOLLUM,2602,4.5,"CULVERT, VALE OF MORGUL"
GOLLUM,2602,7.5,MORGUL VALLEY 
GOLLUM,10398,7.7,MORGUL VALLEY 
GOLLUM,10398,23.7,MINAS MORGUL 
GOLLUM,10652,23.0,MINAS MORGUL 
GOLLUM,10652,23.0,MINAS MORGUL 
GOLLUM,10731,23.5,MINAS MORGUL 
GOLLUM,10731,24.5,MINAS MORGUL
GOLLUM,12598,24.0,MINAS MORGUL
GOLLUM,12598,32.0,CIRITH UNGOL STAIRS 
GOLLUM,12666,32.5,CIRITH UNGOL STAIRS 
GOLLUM,12666,33.5,CIRITH UNGOL LEDGE
GOLLUM,14107,33.7,CIRITH UNGOL LEDGE
GOLLUM,14107,36.7,CIRITH UNGOL LEDGE 
GOLLUM,21551,36.6,CIRITH UNGOL LEDGE 
GOLLUM,21551,52.6,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
GOLLUM,21692,52.5,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
GOLLUM,21692,53.5,SHELOB’S TUNNEL
GOLLUM,21859,53.6,SHELOB’S TUNNEL
GOLLUM,21859,53.6,SHELOB’S TUNNEL
GOLLUM,22122,53.3,SHELOB’S TUNNEL
GOLLUM,22122,54.3,PASS OF CIRITH UNGOL
GOLLUM,29105,54.5,PASS OF CIRITH UNGOL
GOLLUM,29105,72.5,SLOPES OF MOUNT DOOM
GOLLUM,29333,72.0,SLOPES OF MOUNT DOOM
GOLLUM,29333,75.0,CRACK OF
SAM,387,3.0,"CULVERT, VALE OF MORGUL "
SAM,2602,3.2,"CULVERT, VALE OF MORGUL "
SAM,2602,7.2,MORGUL VALLEY 
SAM,10398,7.2,MORGUL VALLEY 
SAM,10398,23.2,MINAS MORGUL 
SAM,12666,23.0,MINAS MORGUL 
SAM,12666,33.0,CIRITH UNGOL LEDGE
SAM,14107,33.2,CIRITH UNGOL LEDGE
SAM,14107,36.2,CIRITH UNGOL LEDGE 
SAM,22755,36.5,CIRITH UNGOL LEDGE 
SAM,22755,54.5,PASS OF CIRITH UNGOL
SAM,25829,54.0,PASS OF CIRITH UNGOL
SAM,25829,64.0,PASS OF CIRITH UNGOL
SAM,25894,64.0,PASS OF CIRITH UNGOL
SAM,25894,62.0,TOWER OF CIRITH UNGOL/TOP ROOM
SAM,26422,62.0,TOWER OF CIRITH UNGOL/TOP ROOM
SAM,26422,54.0,TOWER OF CIRITH
SAM,27518,54.0,TOWER OF CIRITH
SAM,27518,66.0,"ORC ROAD, MORDOR"
SAM,27585,66.0,"ORC ROAD, MORDOR"
SAM,27585,67.0,"GORGOROTH PLAIN, MORDOR"
SAM,27720,67.0,"GORGOROTH PLAIN, MORDOR"
SAM,27720,68.0,PLAINS OF GORGOROTH
SAM,27837,68.0,PLAINS OF GORGOROTH
SAM,27837,68.0,PLAINS OF GORGOROTH
SAM,28497,68.0,PLAINS OF GORGOROTH
SAM,28497,70.0,"GORGOROTH PAIN, MORDOR"
SAM,29105,70.0,"GORGOROTH PAIN, MORDOR"
SAM,29105,72.0,SLOPES OF MOUNT DOOM
SAM,29168,72.0,SLOPES OF MOUNT DOOM
SAM,29168,72.0,SLOPES OF MOUNT DOOM
SAM,29222,72.0,SLOPES OF MOUNT DOOM
SAM,29222,73.0,SLOPES OF MOUNT DOOM
SAM,29227,73.0,SLOPES OF MOUNT DOOM
SAM,29227,74.0,THE CRACK OF DOOM TUNNEL
SAM,29350,74.0,THE CRACK OF DOOM TUNNEL
SAM,29350,75.0,CRACK OF DOOM
SAM,29417,75.0,CRACK OF DOOM
SAM,29417,72.0,CRACK OF
SAM,30431,72.0,CRACK OF
SAM,30431,79.0,BAG END
SAM,31379,79.6,BAG END
SAM,31379,83.6,THE GREY HAVENS
FRODO,387,3.6,"CULVERT, VALE OF MORGUL "
FRODO,2602,3.7,"CULVERT, VALE OF MORGUL "
FRODO,2602,7.7,MORGUL VALLEY 
FRODO,10398,7.0,MORGUL VALLEY 
FRODO,10398,23.0,MINAS MORGUL 
FRODO,10661,23.0,MINAS MORGUL 
FRODO,10661,23.0,MINAS MORGUL 
FRODO,14107,23.5,MINAS MORGUL 
FRODO,14107,36.5,CIRITH UNGOL LEDGE 
FRODO,21551,36.3,CIRITH UNGOL LEDGE 
FRODO,21551,52.3,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
FRODO,21692,52.0,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
FRODO,21692,53.0,SHELOB’S TUNNEL
FRODO,21859,53.3,SHELOB’S TUNNEL
FRODO,21859,53.3,SHELOB’S TUNNEL
FRODO,22122,53.6,SHELOB’S TUNNEL
FRODO,22122,54.6,PASS OF CIRITH UNGOL
FRODO,22379,54.0,PASS OF CIRITH UNGOL
FRODO,22379,54.0,PASS OF CIRITH UNGOL
FRODO,25894,54.6,PASS OF CIRITH UNGOL
FRODO,25894,62.6,PASS OF CIRITH UNGOL
FRODO,26422,62.5,PASS OF CIRITH UNGOL
FRODO,26422,54.5,TOWER OF CIRITH UNGOL/TOP ROOM
FRODO,27585,54.5,TOWER OF CIRITH UNGOL/TOP ROOM
FRODO,27585,67.5,"GORGOROTH PLAIN, MORDOR"
FRODO,28497,67.5,"GORGOROTH PLAIN, MORDOR"
FRODO,28497,70.5,"GORGOROTH PAIN, MORDOR"
FRODO,29227,70.5,"GORGOROTH PAIN, MORDOR"
FRODO,29227,74.5,SLOPES OF MOUNT DOOM
FRODO,29417,74.5,SLOPES OF MOUNT DOOM
FRODO,29417,72.5,CRACK OF DOOM
FRODO,29753,72.0,CRACK OF DOOM
FRODO,29753,76.0,"MINAS TIRITH, HOUSES OF HEALING"
FRODO,30165,76.0,"MINAS TIRITH, HOUSES OF HEALING"
FRODO,30165,77.0,MIDDLE EARTH MAP
FRODO,30371,77.0,MIDDLE EARTH MAP
FRODO,30371,78.0,HOBBITON
FRODO,30431,78.5,HOBBITON
FRODO,30431,79.5,BAG END
FRODO,30902,79.0,BAG END
FRODO,30902,80.0,HOBBITON FIELDS EARLY
FRODO,31082,80.0,HOBBITON FIELDS EARLY
FRODO,31082,81.0,WEST FARTHING
FRODO,31229,81.0,WEST FARTHING
FRODO,31229,82.0,WAGON
FRODO,31379,82.8,WAGON
FRODO,31379,83.8,THE GREY HAVENS
GANDALF,1017,5.0,ISENGARD GATE 
GANDALF,1874,5.7,ISENGARD GATE 
GANDALF,1874,6.7,"EDORAS, GOLDEN HALL"
GANDALF,4516,6.6,"EDORAS, GOLDEN HALL"
GANDALF,4516,11.6,"EDORAS, GOLDEN HALL"
GANDALF,4887,11.6,"EDORAS, GOLDEN HALL"
GANDALF,4887,6.6,"EDORAS, SLEEPING QUARTERS"
GANDALF,5890,6.6,"EDORAS, SLEEPING QUARTERS"
GANDALF,5890,12.6,EDORAS STREETS
GANDALF,6276,12.0,EDORAS STREETS
GANDALF,6276,13.0,EDORAS STABLES 
GANDALF,7499,13.0,EDORAS STABLES 
GANDALF,7499,17.0,FOOTHILLS OF WHITE MOUNTAINS 
GANDALF,7543,17.0,FOOTHILLS OF WHITE MOUNTAINS 
GANDALF,7543,18.0,MINAS TIRITH 
GANDALF,7573,18.0,MINAS TIRITH 
GANDALF,7573,19.0,"MINAS TIRITH, COURT OF THE KINGS "
GANDALF,7987,19.6,"MINAS TIRITH, COURT OF THE KINGS "
GANDALF,7987,20.6,MINAS TIRITH TOWER HALL 
GANDALF,9224,20.0,MINAS TIRITH TOWER HALL 
GANDALF,9224,21.0,"MINAS TIRITH, PIPPIN’S QUARTERS"
GANDALF,9453,21.0,"MINAS TIRITH, PIPPIN’S QUARTERS"
GANDALF,9453,22.0,MINAS TIRITH BALCONY 
GANDALF,10398,22.5,MINAS TIRITH BALCONY 
GANDALF,10398,23.5,MINAS TIRITH BALCONY 
GANDALF,10681,23.0,MINAS TIRITH BALCONY 
GANDALF,10681,22.0,MINAS TIRITH BALCONY 
GANDALF,10731,22.0,MINAS TIRITH BALCONY 
GANDALF,10731,24.0,MINAS MORGUL 
GANDALF,10912,24.0,MINAS MORGUL 
GANDALF,10912,22.0,MINAS MORGUL
GANDALF,10950,22.0,MINAS MORGUL
GANDALF,10950,25.0,MINAS TIRITH SIXTH LEVEL 
GANDALF,11134,25.5,MINAS TIRITH SIXTH LEVEL 
GANDALF,11134,28.5,MINAS TIRITH BATTLEMENTS 
GANDALF,12087,28.5,MINAS TIRITH BATTLEMENTS 
GANDALF,12087,31.5,MINAS TIRITH GATES 
GANDALF,13153,31.5,MINAS TIRITH GATES 
GANDALF,13153,35.5,MINAS TIRITH BATTLEMENTS
GANDALF,15469,35.5,MINAS TIRITH BATTLEMENTS
GANDALF,15469,37.5,MINAS TIRITH BATTLEMENTS
GANDALF,16919,37.3,MINAS TIRITH BATTLEMENTS
GANDALF,16919,42.3,MINAS TIRITH BATTLEMENTS
GANDALF,20962,42.0,MINAS TIRITH BATTLEMENTS
GANDALF,20962,50.0,MINAS TIRITH STREETS
GANDALF,21187,50.0,MINAS TIRITH STREETS
GANDALF,21187,37.0,MINAS TIRITH STREETS
GANDALF,21207,37.0,MINAS TIRITH STREETS
GANDALF,21207,35.0,MINAS TIRITH STREETS
GANDALF,21262,35.5,MINAS TIRITH STREETS
GANDALF,21262,35.5,MINAS TIRITH STREETS
GANDALF,22489,35.0,MINAS TIRITH STREETS
GANDALF,22489,37.0,MINAS TIRITH STREETS
GANDALF,22646,37.0,MINAS TIRITH STREETS
GANDALF,22646,47.0,DUNHARROW TRACK
GANDALF,23555,47.0,DUNHARROW TRACK
GANDALF,23555,37.0,MINAS TIRITH GATES
GANDALF,23697,37.0,MINAS TIRITH GATES
GANDALF,23697,58.0,"MINAS TIRITH, COURT OF THE KINGS"
GANDALF,24245,58.0,"MINAS TIRITH, COURT OF THE KINGS"
GANDALF,24245,37.0,MINAS TIRITH COURT OF THE KINGS
GANDALF,24317,37.0,MINAS TIRITH COURT OF THE KINGS
GANDALF,24317,56.0,"MINAS TIRITH, STEWARD’S TOMB"
