character,scene,loc,loc_name
SMÉAGOL,0,0,RIVER ANDUIN 
SMÉAGOL,22,0,RIVER ANDUIN 
SMÉAGOL,22,1,"RIVER ANDUIN, GLADDEN FIELDS"
SMÉAGOL,103,1,"RIVER ANDUIN, GLADDEN FIELDS"
SMÉAGOL,103,2,MISTY MOUNTAINS CAVES 
SMÉAGOL,2602,2,MISTY MOUNTAINS CAVES 
SMÉAGOL,2602,7,MORGUL VALLEY 
SMÉAGOL,14107,7,MORGUL VALLEY 
SMÉAGOL,14107,36,CIRITH UNGOL LEDGE 
SMÉAGOL,21551,36,CIRITH UNGOL LEDGE 
SMÉAGOL,21551,52,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
SMÉAGOL,22122,52,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
SMÉAGOL,22122,54,PASS OF CIRITH UNGOL
GOLLUM,103,2,MISTY MOUNTAINS CAVES 
GOLLUM,387,2,MISTY MOUNTAINS CAVES 
GOLLUM,387,3,"CULVERT, VALE OF MORGUL "
GOLLUM,936,3,"CULVERT, VALE OF MORGUL "
GOLLUM,936,4,"CULVERT, VALE OF MORGUL"
GOLLUM,2602,4,"CULVERT, VALE OF MORGUL"
GOLLUM,2602,7,MORGUL VALLEY 
GOLLUM,10398,7,MORGUL VALLEY 
GOLLUM,10398,23,MINAS MORGUL 
GOLLUM,10652,23,MINAS MORGUL 
GOLLUM,10652,23,MINAS MORGUL 
GOLLUM,10731,23,MINAS MORGUL 
GOLLUM,10731,24,MINAS MORGUL
GOLLUM,12598,24,MINAS MORGUL
GOLLUM,12598,32,CIRITH UNGOL STAIRS 
GOLLUM,12666,32,CIRITH UNGOL STAIRS 
GOLLUM,12666,33,CIRITH UNGOL LEDGE
GOLLUM,14107,33,CIRITH UNGOL LEDGE
GOLLUM,14107,36,CIRITH UNGOL LEDGE 
GOLLUM,21551,36,CIRITH UNGOL LEDGE 
GOLLUM,21551,52,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
GOLLUM,21692,52,"PASS OF CIRITH UNGOL, TUNNEL MOUTH"
GOLLUM,21692,53,SHELOB’S TUNNEL
GOLLUM,21859,53,SHELOB’S TUNNEL
GOLLUM,21859,53,SHELOB’S TUNNEL
GOLLUM,22122,53,SHELOB’S TUNNEL
GOLLUM,22122,54,PASS OF CIRITH UNGOL
GOLLUM,29105,54,PASS OF CIRITH UNGOL
GOLLUM,29105,72,SLOPES OF MOUNT DOOM
GOLLUM,29333,72,SLOPES OF MOUNT DOOM
GOLLUM,29333,75,CRACK OF
SAM,387,3,"CULVERT, VALE OF MORGUL "
SAM,2602,3,"CULVERT, VALE OF MORGUL "
SAM,2602,7,MORGUL VALLEY 
SAM,10398,7,MORGUL VALLEY 
SAM,10398,23,MINAS MORGUL 
SAM,12666,23,MINAS MORGUL 
SAM,12666,33,CIRITH UNGOL LEDGE
SAM,14107,33,CIRITH UNGOL LEDGE
SAM,14107,36,CIRITH UNGOL LEDGE 
SAM,22755,36,CIRITH UNGOL LEDGE 
SAM,22755,54,PASS OF CIRITH UNGOL
SAM,25829,54,PASS OF CIRITH UNGOL
SAM,25829,64,PASS OF CIRITH UNGOL
SAM,25894,64,PASS OF CIRITH UNGOL
SAM,25894,62,TOWER OF CIRITH UNGOL/TOP ROOM
SAM,26422,62,TOWER OF CIRITH UNGOL/TOP ROOM
SAM,26422,54,TOWER OF CIRITH
SAM,27518,54,TOWER OF CIRITH
SAM,27518,66,"ORC ROAD, MORDOR"
SAM,27585,66,"ORC ROAD, MORDOR"
